"acronyme","coursGrp","nomCours"
"VHR","4 GT:HIS2-06",
"VHR","4 GT:REL2-02",
"VHR","4 GT:REL2-03",
"VHR","4 GT:REL2-05",
"VHR","5 GT:HIS2-01",
"VHR","5 TQ:REL2-05",
"VHR","5 TT:FHIS2-01",
"VHR","6 TQ:REL2-05",
"VHO","2C:FR5-01",
"VHO","2C:FR5-02",
"VHO","3 GT:COIN-00",
"VHO","3 GT:FR5-02",
"VHO","3 GT:FR5-04",
"VLO","2S:EDM4-09",
"VLO","2S:FR7-0a",
"VLO","2S:FR7-0b",
"VLO","2S:FR7-9a",
"VLO","2S:FR7-9b",
"AVW","3 TT:PSY2-01",
"AVW","4 GT:SCSO4-01",
"AVW","4 TT:PSY2-01",
"AVW","5 GT:SCSO4-01",
"AVW","6 GT:SCSO4-01",
"AVW","6 TQ:CORE2-05",
"AVW","6 TT:PSY2-01",
"VWE","4 GT:FR5-06",
"VWE","5 GT:FR4-01",
"VWE","5 TQ:FR4-05",
"VWE","5 TT:FR4-01",
"VWE","6 GT:FR4-03",
"VWE","6 TQ:SCHU2-05",
"VWE","6 TQ:TEED3-05",
"VRM","1C:SC3-2a",
"VRM","1C:SC3-2b",
"VRM","1C:SC3-5a",
"VRM","1C:SC3-5b",
"VRM","1C:SC3-8a",
"VRM","1C:SC3-8b",
"VRM","1S:SC3-5a",
"VRM","1S:SC3-5b",
"VRM","1S:SC3-8a",
"VRM","1S:SC3-8b",
